date,Unemployment,no.articles_Unemployment,Mental_health,no.articles_Mental_health,Wellbeing
2020-04-30,-2.044904507310554,845,-1.776056696190544,5690,-1.811186772224888
2020-05-31,-1.9444122243938395,799,-1.7479220595720937,4225,-1.769667082092209
2020-06-30,-1.8180457584986511,603,-1.900003105635633,3001,-1.9030413904086485
2020-07-31,-1.527199836005724,473,-1.742500765201113,2805,-1.832055016237932
2020-08-31,-1.4738373517790353,459,-1.9527296171218689,2462,-2.0289630452450123
2020-09-30,-1.3094415584428931,524,-1.588881164603899,2463,-1.6427575379111323
2020-10-31,-1.5049802634016238,259,-1.6846381943882638,1594,-1.817995718244966
2020-11-30,-1.2214224068755322,174,-1.6802169003569662,1806,-1.6722105407499457
2020-12-31,-1.399306606322261,252,-0.953219165142708,2579,-1.0049295510990437
2021-01-31,-2.0295373336855644,240,-1.4337889537934905,2337,-1.5138621960528822
2021-02-28,-1.6682319737931948,309,-1.3629205197400138,2403,-1.445850127383277
2021-03-31,-1.1556255865809577,323,-0.9725018255768524,2337,-1.032328457588006
2021-04-30,-1.0649683524047628,257,-1.1156878507576582,2720,-1.2260320965268012
2021-05-31,-1.2064564965488305,158,-0.8609714658003806,1785,-0.9718682655970912
2015-03-31,-0.6269039619615493,238,-0.5857443704664524,134,
2015-04-30,-0.2566480229599171,209,-0.6464931715381714,61,
2015-05-31,-0.9092024242297172,435,-0.5712005777034145,134,
2015-06-30,-0.8621432856253773,182,-0.4165781550859032,220,
2015-07-31,-1.0101908125026062,301,-0.8943358675924277,1610,-0.939901914182802
2015-08-31,-0.8921134252562788,380,-1.010984405003266,1645,-1.0257151750011444
2015-09-30,-1.0210017686081203,356,-1.0066280730529251,1937,-1.0495432913224696
2015-10-31,-0.492103749250478,353,-0.8543802517608612,1766,-0.7917842321013315
2015-11-30,-0.6125170163683409,495,-0.770768806492959,1711,-1.0935608588339192
2015-12-31,-1.5443127116567792,265,-0.9114970736527984,1540,-0.9578473952432424
2016-01-31,-0.7869903738569705,279,-1.5297670743113407,1178,-1.527073282956853
2016-02-29,-0.3009275097130728,475,-1.1923023263225745,1775,-1.1326352031245406
2016-03-31,-0.8556772882961801,292,-1.2315933937322123,1740,-1.2236596421661108
2016-04-30,-0.9584262681569404,245,-0.8021576735513001,1857,-0.7971752933641062
2016-05-31,-1.0041799330210244,398,-0.7717752057669652,1981,-0.7435728536687688
2016-06-30,-0.9852214573147736,227,-1.2342820607377112,1524,-1.212857832976889
2016-07-31,-0.6638534712658252,243,-1.1256638696811017,1474,-1.4264853773964354
2016-08-31,-0.3268488192290731,481,-0.8379294681873529,1585,-0.9079439902828392
2016-09-30,-0.0937458707043413,387,-1.191054896977468,1743,-1.2623372258103325
2016-10-31,-0.6320598979639058,371,-0.8529683699011351,1680,-0.843935307818754
2016-11-30,-0.3599260848040988,613,-0.8097500555678645,1939,-0.8585148890051958
2016-12-31,-0.5280039267555161,202,-0.9573458868173204,1323,-1.070368685028965
2017-01-31,-0.7757823031329473,212,-1.6603196255530497,1250,-1.779824961501964
2017-02-28,-0.4323481648077253,451,-1.107188154484139,1479,-1.1514492552272575
2017-03-31,-0.1657463347490714,312,-1.5783395756120324,1562,-1.606329458648062
2017-04-30,-0.2961059104570938,291,-1.1601908819377462,1300,-1.2269094478220866
2017-05-31,-0.5231180211448864,419,-0.8031535812063998,2002,-0.9847096487521744
2017-06-30,-0.190864013885463,300,-1.1590098981367354,1589,-1.3448865672041757
2017-07-31,-0.274766691547488,366,-1.4660815985365871,1677,-1.598611956814055
2017-08-31,-0.7423843966465171,389,-1.148890762779323,1740,-1.284428233448626
2017-09-30,-0.6996689241801166,322,-0.9163926677582532,1702,-1.0332591320272757
2017-10-31,-0.2300978397306498,307,-1.0474705753319855,1381,-1.3406155271621605
2017-11-30,-0.6110603716772552,315,-0.9439335814844048,1530,-0.9945697718875725
2017-12-31,-0.5649186298665746,282,-1.4608892827495936,1643,-1.5689520677016384
2018-01-31,-0.2347353153090493,200,-1.383412302241028,1503,-1.5574792536794997
2018-02-28,-0.8806490863493744,285,-1.5990797399781838,1587,-1.815885654786815
2018-03-31,-0.3412532451587185,206,-1.3894528870353684,1497,-1.539007857875022
2018-04-30,-0.5029112727577869,274,-1.0843462309874368,1722,-1.258292288733347
2018-05-31,-0.2810114806774438,425,-1.1142219436707153,1969,-1.333516630198959
2018-06-30,-0.727773326620563,424,-1.073715371040792,1803,-1.123807404567885
2018-07-31,-0.4520630951643411,344,-0.7543789934049687,2044,-0.8355308805104859
2018-08-31,-0.6680849097415608,411,-0.8430877755666286,1990,-0.9196878698040069
2018-09-30,-0.5088779454116545,332,-1.046761774989268,1636,-1.277450390665493
2018-10-31,-0.0873987377271186,388,-0.9424745909736664,1992,-1.3766703158650662
2018-11-30,-0.2425865870265045,420,-1.035806569804683,1996,-1.2103110331717597
2018-12-31,-0.3301682753563074,361,-1.1241650155674217,1606,-1.4045608337746236
2019-01-31,-0.0793327895307429,370,-1.6548947406043244,1290,-1.890808731079593
2019-02-28,-0.5988067519393865,411,-1.0838167605834774,1374,-1.425815936835932
2019-03-31,-0.6849442686855777,250,-1.8775097714918203,2112,-2.027195367909967
2019-04-30,-0.3663372149592745,259,-1.555139996866009,1678,-1.7292564939903683
2019-05-31,0.0262875070063106,390,-0.7207669152612346,2106,-1.322719599121012
2019-06-30,-0.240592472828056,258,-1.1097053797520846,1564,-1.3944094267320484
2019-07-31,-0.2831367633775427,322,-0.569914431350097,1628,-0.7560431335854644
2019-08-31,-0.6136572523332319,311,-1.2871113145166204,1753,-1.490133642777203
2019-09-30,0.2655133496783123,244,-0.9892289345322468,1733,-1.1914339194423462
2019-10-31,-0.0638237164848846,304,-0.8439489673519188,1591,-0.974182299964404
2019-11-30,0.2862994582963879,297,-0.6874699441137776,1766,-0.9921844499068888
2019-12-31,-0.0860861329840626,211,-1.3061033894168912,1823,-1.471947745169693
2020-01-31,-0.2156149211426378,162,-1.506971284869157,1546,-1.5702483111696792
2020-02-29,-0.6414649626405973,226,-1.553163767836742,1553,-1.7514563087833026
2020-03-31,-1.187400158269008,418,-1.3674962049414774,3699,-1.4336464536674107
2020-04-30,-1.0560117839378098,935,-1.160885519446485,3678,-1.2479275207458933
2020-05-31,-0.2794105849534911,1314,-0.6308182628519817,2392,-0.7086803408869223
2020-06-30,-0.5104886857301385,654,-0.9787515043803452,2177,-1.1747045285094273
2020-07-31,-0.3680536239376683,673,-0.911182266020628,2112,-1.069767324978813
2020-08-31,-0.4168852344964976,559,-1.2516237058032191,2362,-1.3811204005226676
2020-09-30,-0.3569594032024927,646,-0.863611598880953,2364,-1.099367478275361
2020-10-31,-0.1209052067982819,238,-0.7789600690684398,1059,-0.9823679513857472
2020-11-30,-0.5921398368421509,257,-1.1068990441927484,949,-1.27690438354788
2020-12-31,-0.524617665180755,367,-1.2522480905276985,1538,-1.4746391143306026
2021-01-31,-0.3407451292900257,231,-1.603255575458777,1298,-1.6984559671983976
2021-02-28,-0.0235532253951014,313,-1.18611860071668,1459,-1.3647560506322391
2021-03-31,-0.205124925596516,304,-1.2483948407266303,1656,-1.3966261066046908
2021-04-30,-0.396671528265632,203,-0.6633908433880213,1499,-0.8005349418155842
